identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:2481:LOC;CHATEAU ROUGE;TRAM;TOURCOING CENTRE;2022-03-10T18:55:08+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268442524:LOC;TOURCOING CENTRE/CHATEAU ROUGE/2022-03-10T18:55:08.000+01:00
TRANSPOLE:StopPointRef:BP:2481:LOC;CHATEAU ROUGE;TRAM;TOURCOING CENTRE;2022-03-10T19:03:43+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440600:LOC;TOURCOING CENTRE/CHATEAU ROUGE/2022-03-10T19:03:43.000+01:00
TRANSPOLE:StopPointRef:BP:2481:LOC;CHATEAU ROUGE;TRAM;TOURCOING CENTRE;2022-03-10T19:13:51+01:00;2022-03-10T18:44:30+01:00;TRANSPOLE:ItemId::268444514:LOC;TOURCOING CENTRE/CHATEAU ROUGE/2022-03-10T19:13:51.000+01:00
TRANSPOLE:StopPointRef:BP:2881:LOC;CLEMENCEAU HIPP.;TRAM;TOURCOING CENTRE;2022-03-10T18:56:54+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268440595:LOC;TOURCOING CENTRE/CLEMENCEAU HIPP./2022-03-10T18:56:54.000+01:00
TRANSPOLE:StopPointRef:BP:2881:LOC;CLEMENCEAU HIPP.;TRAM;TOURCOING CENTRE;2022-03-10T19:07:01+01:00;2022-03-10T18:30:00+01:00;TRANSPOLE:ItemId::268444509:LOC;TOURCOING CENTRE/CLEMENCEAU HIPP./2022-03-10T19:07:01.000+01:00
TRANSPOLE:StopPointRef:BP:601:LOC;CROISE LAROCHE;TRAM;TOURCOING CENTRE;2022-03-10T18:50:08+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268442520:LOC;TOURCOING CENTRE/CROISE LAROCHE/2022-03-10T18:50:08.000+01:00
TRANSPOLE:StopPointRef:BP:601:LOC;CROISE LAROCHE;TRAM;TOURCOING CENTRE;2022-03-10T18:58:43+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440596:LOC;TOURCOING CENTRE/CROISE LAROCHE/2022-03-10T18:58:43.000+01:00
TRANSPOLE:StopPointRef:BP:601:LOC;CROISE LAROCHE;TRAM;TOURCOING CENTRE;2022-03-10T19:08:50+01:00;2022-03-10T18:44:30+01:00;TRANSPOLE:ItemId::268444510:LOC;TOURCOING CENTRE/CROISE LAROCHE/2022-03-10T19:08:50.000+01:00
TRANSPOLE:StopPointRef:BP:4912:LOC;FAIDHERBE;TRAM;TOURCOING CENTRE;2022-03-10T18:52:22+01:00;2022-03-10T18:48:55+01:00;TRANSPOLE:ItemId::268439108:LOC;TOURCOING CENTRE/FAIDHERBE/2022-03-10T18:52:22.000+01:00
TRANSPOLE:StopPointRef:BP:4912:LOC;FAIDHERBE;TRAM;TOURCOING CENTRE;2022-03-10T19:01:55+01:00;2022-03-10T18:48:50+01:00;TRANSPOLE:ItemId::268442529:LOC;TOURCOING CENTRE/FAIDHERBE/2022-03-10T19:01:55.000+01:00
TRANSPOLE:StopPointRef:BP:4912:LOC;FAIDHERBE;TRAM;TOURCOING CENTRE;2022-03-10T19:11:35+01:00;2022-03-10T18:48:35+01:00;TRANSPOLE:ItemId::268440605:LOC;TOURCOING CENTRE/FAIDHERBE/2022-03-10T19:11:35.000+01:00
TRANSPOLE:StopPointRef:BP:3241:LOC;FOCH;TRAM;TOURCOING CENTRE;2022-03-10T18:50:29+01:00;2022-03-10T18:48:50+01:00;TRANSPOLE:ItemId::268442521:LOC;TOURCOING CENTRE/FOCH/2022-03-10T18:50:29.000+01:00
TRANSPOLE:StopPointRef:BP:3241:LOC;FOCH;TRAM;TOURCOING CENTRE;2022-03-10T19:00:09+01:00;2022-03-10T18:48:35+01:00;TRANSPOLE:ItemId::268440597:LOC;TOURCOING CENTRE/FOCH/2022-03-10T19:00:09.000+01:00
TRANSPOLE:StopPointRef:BP:3241:LOC;FOCH;TRAM;TOURCOING CENTRE;2022-03-10T19:09:57+01:00;2022-03-10T18:44:30+01:00;TRANSPOLE:ItemId::268444511:LOC;TOURCOING CENTRE/FOCH/2022-03-10T19:09:57.000+01:00
TRANSPOLE:StopPointRef:BP:1980:LOC;GRAND COTTIGNIES;TRAM;TOURCOING CENTRE;2022-03-10T18:57:47+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268442526:LOC;TOURCOING CENTRE/GRAND COTTIGNIES/2022-03-10T18:57:47.000+01:00
TRANSPOLE:StopPointRef:BP:1980:LOC;GRAND COTTIGNIES;TRAM;TOURCOING CENTRE;2022-03-10T19:06:27+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440602:LOC;TOURCOING CENTRE/GRAND COTTIGNIES/2022-03-10T19:06:27.000+01:00
TRANSPOLE:StopPointRef:BP:1980:LOC;GRAND COTTIGNIES;TRAM;TOURCOING CENTRE;2022-03-10T19:16:34+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268444516:LOC;TOURCOING CENTRE/GRAND COTTIGNIES/2022-03-10T19:16:34.000+01:00
TRANSPOLE:StopPointRef:BP:3146:LOC;LE QUESNE;TRAM;TOURCOING CENTRE;2022-03-10T18:52:47+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268442522:LOC;TOURCOING CENTRE/LE QUESNE/2022-03-10T18:52:47.000+01:00
TRANSPOLE:StopPointRef:BP:3146:LOC;LE QUESNE;TRAM;TOURCOING CENTRE;2022-03-10T19:01:22+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440598:LOC;TOURCOING CENTRE/LE QUESNE/2022-03-10T19:01:22.000+01:00
TRANSPOLE:StopPointRef:BP:3146:LOC;LE QUESNE;TRAM;TOURCOING CENTRE;2022-03-10T19:11:29+01:00;2022-03-10T18:44:30+01:00;TRANSPOLE:ItemId::268444512:LOC;TOURCOING CENTRE/LE QUESNE/2022-03-10T19:11:29.000+01:00
